raw_drug,normalized_drug,drug_id
lepressor,lopressor,d00134
leptic,keppra,d04499
lercol xl,lercanidipine xl,NO_DRUG_ID
lerothyroxine,levothyroxine,d00278
leroxyl,levoxyl,d00278
lesacol,lisinopril,d00732
lescal,lescol,d03183
leschol,lescol,d03183
lescital,lexapro,d04812
lescol,lescol,d03183
lescol xl,lescol xl,d03183
lesinapril,lisinopril,d00732
lesol,lisinopril,d00732
lesprinol,levetiracetam,d04499
letapro,lexapro,d04812
letothy rocine,levothyroxine,d00278
letrel 10/20,letairis,d06841
letrozole,letrozole,d04156
leucovorin,leucovorin,d00275
leukeran,leukeran,d00188
leukeron,leukeran,d00188
leuothyroxine,levothyroxine,d00278
leuoxyl,levoxyl,d00278
leutin,keppra,d04499
lev,levetiracetam,d04499
levacor,levaquin,d04109
levadin,levaquin,d04109
levadopa,unknown,d00277
levadopa-carbadepa,levodopa-carbidopa,NO_DRUG_ID
levadoxyl,levoxyl,d00278
levalbuterol,unknown,d04427
levalbuterol hcl,levalbuterol hcl,d04427
levalbuterol inhaler,levalbuterol inhaler,d04427
levalbuterol tartrate 59 mcg/2,levalbuterol tartrate,d04427
levaquin,levaquin,d04109
levatet,levetiracetam,d04499
levathoid,levothroid,d00278
levathroxine,levothyroxine,d00278
levathyoxine,levothyroxine,d00278
levathyroxin,levothyroxine,d00278
levathyroxine,unknown,d00278
levbid,levbid,d00985
levemir,levemir,d05436
levenox,lovenox,d03041
leventhroid,levothyroxine,d00278
levetiracetam,levetiracetam,d04499
levetiracetan,levetiracetam,d04499
levidopa,unknown,d00277
levin,levetiracetam,d04499
levinex,levetiracetam,d04499
levithyroxine,levothyroxine,d00278
levitra,levitra,d04893
levo carbidopa,carbidopa/levodopa,d03473
levo thyroid,levothyroxine,d00278
levobid,levobid,NO_DRUG_ID
levobunalol opth,levobunolol ophthalmic,d01187
levobunolol,levobunolol,d01187
levobunolol (0.05 percent),levobunolol,d01187
levobunolol (2 eye drops),levobunolol,d01187
levobunolol 25%,levobunolol,d01187
levobunolol 2gtts l eye,levobunolol,d01187
levobunolol betagen 0.5,betagan,d01187
levobunolol drops,levobunolol drops,d01187
levobunolol eye atts ou,levobunolol,d01187
levobunolol eye gtts ou,levobunolol,d01187
levobunolol hcl,levobunolol hcl,d01187
levobunolol hcl (eye drops),levobunolol hydrochloride,d01187
levobunolol hcl 0.25%,levobunolol hydrochloride 0.25%,NO_DRUG_ID
levobunolol hcl eye drops 0.5,levobunolol hcl eye drops 0.5%,d01187
levobunolol hydrochloride,levobunolol hydrochloride,NO_DRUG_ID
levobunolol hydrocloride,levobunolol hydrochloride,d01187
levobunolol ophth,levobunolol ophthalmic,d01187
levobunolol opn drops,levobunolol ophthalmic drops,d01187
levobunolol sol.,levobunolol,d01187
levobunolol soln,levobunolol,d01187
levobutanol,levobunolol,d01187
levodopa,levodopa,d00277
levodopa 25-100,carbidopa-levodopa,d03473
levodopa 25/250,carbidopa/levodopa,d03473
levodopa cr,levodopa controlled release,NO_DRUG_ID
levodopa/cardopa,levodopa/carbidopa,NO_DRUG_ID
levodspor,levodopa,d00277
levodupa,levodopa,d00277
levofloxacin,levofloxacin,d04109
levohyroxine,levothyroxine,d00278
levolbyroid,levothyroxine,d00278
levoleunolol hydrochlor,levobunolol hydrochloride,NO_DRUG_ID
levolounolo,levetiracetam,d04499
levooxl,levoxyl,d00278
levoquin,levofloxacin,d04109
levora,levora,NO_DRUG_ID
levoryl,levothyroxine,d00278
levostatin,lovastatin,d00280
levosynthroid,levothyroxine,d00278
levotheoid,levothroid,d00278
levothiprxine,levothyroxine,d00278
levothiroxine,levothyroxine,d00278
levothois,levothyroxine,d00278
levothorxny,levothyroxine,d00278
levothoxine,levothyroxine,d00278
levothroid,levothroid,d00278
levothroide,unknown,d00278
levothroxin,levothyroxine,d00278
levothroxine,levothyroxine,d00278
levothroyine,levothyroxine,d00278
levothryoxin,levothyroxine,d00278
levothryoxine,unknown,d00278
levothryroxine,levothyroxine,d00278
levothydoxine,levothyroxine,d00278
levothydroxine,levothyroxine,d00278
levothyerxnie,levothyroxine,d00278
levothyhroxine,levothyroxine,d00278
levothymin,levothyroxine,d00278
levothynoxine,levothyroxine,d00278
levothynoxine sodium,levothyroxine sodium,d00278
levothyoroxine,levothyroxine,d00278
levothyorsin,levothyroxine,d00278
levothyoxin,levothyroxine,d00278
levothyoxine,levothyroxine,d00278
levothypoxine,levothyroxine,d00278
levothyraxine sodium,levothyroxine sodium,d00278
levothyreoxine,levothyroxine,d00278
levothyrid,levothyroxine,d00278
levothyroid,levothyroxine,d00278
levothyroixin,levothyroxine,d00278
levothyronix,levothyroxine,d00278
levothyrorine,unknown,d00278
levothyrosxin,levothyroxine,d00278
levothyrox,unknown,d00278
levothyroxane,levothyroxine,d00278
levothyroxic,levothyroxine,d00278
levothyroxil,levothyroxine,d00278
levothyroxim,levothyroxine,d00278
levothyroxime,levothyroxine,d00278
levothyroxin,levothyroxine,d00278
levothyroxine,levothyroxine,d00278
levothyroxine (synthroid),levothyroxine,d00278
levothyroxine na,levothyroxine sodium,d00278
levothyroxine sodium,levothyroxine sodium,d00278
levothyroxn,levothyroxine,d00278
levothyroxum,unknown,d00278
levothyroxyne,levothyroxine,d00278
levotthyroxine,levothyroxine,d00278
levotyroxime,levothyroxine,d00278
levotyroxine,levothyroxine,d00278
levoxil,levoxyl,d00278
levoxine,levoxyl,d00278
levoxl,levoxyl,d00278
levoxly,levoxyl,d00278
levoxthyrin,levothyroxine,d00278
levoxye,levoxyl,d00278
levoxyl,levoxyl,d00278
levoxyn,levoxyl,d00278
levsin,levsin,d00985
levthyroid,levothyroxine,d00278
levthyropin,levothyroxine,d00278
lewthyroxine,levothyroxine,d00278
lexagno,lexapro,d04812
lexapo,lexapro,d04812
lexapr0,lexapro,d04812
lexapro,lexapro,d04812
lexipro,lexapro,d04812
lexitan,lexapro,d04812
lexopril,lisinopril,d00732
lexopro,lexapro,d04812
lexotan,lexotan,r10022
lexothyroixine,levothyroxine,d00278
lexothyroxine,levothyroxine,d00278
lexpro,lexapro,d04812
lexupro,lexapro,d04812
lexzpro,lexapro,d04812
leyothroid,levothyroxine,d00278
liainopeil,lisinopril,d00732
lialda,lialda,d01031
liampril,lisinopril,d00732
librax,librax,d03492
librax(5/2.5mg),librax,d03492
librium,librium,d00189
libruim,librium,d00189
lic,unknown,NO_DRUG_ID
licinopril,lisinopril,d00732
lidex,lidex,d01294
lidex (ointment),lidex,d01294
lidium patch,lidoderm patch,NO_DRUG_ID
lidocain,unknown,d00059
lidocaine,lidocaine,d00059
lidocaine 5 patch,lidocaine patch,d00683
lidocaine back patch,lidocaine patch,d00683
lidocaine patach,lidocaine patch,d00683
lidocaine patch,lidocaine patch,d00683
lidocaine patch 5,lidocaine patch 5%,NO_DRUG_ID
lidocaine topical patches,unknown,d00683
lidocane patch,lidocaine patch,d00683
lidoderm,lidoderm,d00683
lidoderm 1/2 patch,lidoderm,d00683
lidoderm 5 percent,unknown,d00683
lidoderm 5% patch,lidoderm 5% patch,NO_DRUG_ID
lidoderm patch,lidoderm patch,d00683
lidoderm patch 5,lidoderm patch 5%,NO_DRUG_ID
liebrax,librax,d03492
lieite,unknown,NO_DRUG_ID
ligranal,tegretol,d00058
lilly study,unknown,NO_DRUG_ID
limbatrol,limbitrol,d03462
limbrel,limbrel,d00417
lindolol,inderal,d00032
linesta,lunesta,d05421
lininopril,lisinopril,d00732
linispril,lisinopril,d00732
linopril,lisinopril,d00732
linsinopril,lisinopril,d00732
linsopril,lisinopril,d00732
linsuper,lantus,d04538
liomipril,lisinopril,d00732
liomopril,lisinopril,d00732
liothryonene,liothyronine,d00658
liothyronine,liothyronine,d00658
lipator,lipitor,d04105
liphlor,lipitor,d04105
liphor,lipitor,d04105
lipifolr,lisinopril,d00732
lipilor,lipitor,d04105
lipinopril,lisinopril,d00732
lipior,lipitor,d04105
lipisonopril,lisinopril,d00732
lipitar,lipitor,d04105
lipiter,lipitor,d04105
lipitoe,lipitor,d04105
lipitol,lipitor,d04105
lipiton,lipton,d04105
lipitor,lipitor,d04105
lipitor     `,lipitor,d04105
lipitor (1/2 a pill),unknown,d04105
lipitor 80,lipitor,d04105
lipitor tab,lipitor,d04105
lipizide,glipizide,d00246
lipoderm patch,lidoderm patch,NO_DRUG_ID
lipoitor,lipitor,d04105
lipotor,lipitor,d04105
liptior,lipitor,d04105
liptor,lipitor,d04105
liq gel for eye,artificial tears,d03768
liquid antacid extra,maalox extra strength,NO_DRUG_ID
liroxatral,doxazosin,d00726
lisimopril,unknown,NO_DRUG_ID
lisin/hctz,lisinopril/hydrochlorothiazide,d03266
lisin/hctz 20/25,lisinopril/hydrochlorothiazide,NO_DRUG_ID
lisinagnil,lisinopril,d00732
lisinapril,lisinopril,d00732
lisinepril,lisinopril,d00732
lisininopril,lisinopril,d00732
lisiniopril,lisinopril,d00732
lisinipril,lisinopril,d00732
lisinipril hctz,lisinopril hctz,d03266
lisinmopril,lisinopril,d00732
lisinnopril,lisinopril,d00732
lisino,lisinopril,d00732
lisino/hctz (20/12.5mg),lisinopril/hydrochlorothiazide,d03266
lisinofril,lisinopril,d00732
lisinohctz,lisinopril/hydrochlorothiazide,d03266
lisinop-hct2,lisinopril-hydrochlorothiazide,NO_DRUG_ID
lisinopal,lisinopril,d00732
lisinopcil,lisinopril,d00732
lisinopil,lisinopril,d00732
lisinopl hctz,lisinopril hctz,d03266
lisinoplul hctz,lisinopril hctz,d03266
lisinoprel,lisinopril,d00732
lisinopri,lisinopril,d00732
lisinoprie,lisinopril,d00732
lisinopril,lisinopril,d00732
lisinopril (prinivil),lisinopril,d00732
lisinopril / hc,lisinopril/hydrochlorothiazide,d00732
lisinopril / hchtz,lisinopril/hydrochlorothiazide,d03266
lisinopril / hcthz,lisinopril/hydrochlorothiazide,d03266
lisinopril / hctz,lisinopril/hydrochlorothiazide,d03266
lisinopril 20 12.5,lisinopril/hydrochlorothiazide,NO_DRUG_ID
lisinopril 20/12.5,lisinopril/hydrochlorothiazide,d00732
lisinopril 40mg,lisinopril,d00732
lisinopril hc,lisinopril hctz,NO_DRUG_ID
lisinopril hcl,unknown,d00732
lisinopril hctz,lisinopril/hydrochlorothiazide,d03266
lisinopril hctz 10  12.5,lisinopril-hydrochlorothiazide,NO_DRUG_ID
lisinopril hctz 10/12.5,lisinopril/hydrochlorothiazide,d03266
lisinopril mgmyl,lisinopril,d00732
lisinopril sodium,lisinopril,d00732
lisinopril tab,lisinopril,d00732
lisinopril zestoretic,unknown,d03266
lisinopril-hctz,lisinopril-hydrochlorothiazide,d03266
lisinopril(20/12.5mg),lisinopril/hydrochlorothiazide,NO_DRUG_ID
lisinopril(20/25mg),lisinopril,d00732
lisinopril/hctz,lisinopril/hydrochlorothiazide,d03266
lisinopril/hctz 10/12.5,lisinopril/hydrochlorothiazide,d03266
lisinopril/hydrochlorothiazide,lisinopril/hydrochlorothiazide,d03266
lisinopril/zestril,lisinopril,d00732
lisinoprol,lisinopril,d00732
lisinoprol/hctz,lisinopril/hydrochlorothiazide,NO_DRUG_ID
lisinopryl,unknown,NO_DRUG_ID
lisinoril,lisinopril,d00732
lisinpil,lisinopril,d00732
lisinpril,lisinopril,d00732
lisinropcil,lisinopril,d00732
lisinupril hcl,lisinopril,d00732
lisionpril,lisinopril,d00732
lisiopril hctz,lisinopril hctz,d03266
lisipopril,lisinopril,d00732
lisiprol,lisinopril,d00732
lisiro-hct2,lisinopril-hctz,d03266
lisiropril,lisinopril,d00732
lisiuopril,lisinopril,d00732
lisivopril,lisinopril,d00732
lisluopril,lisinopril,d00732
lisniopril/hctz,lisinopril/hctz,d03266
lisnop,lisinopril,d00732
lisnopril,lisinopril,d00732
lisonopine,lisinopril,d00732
lisonopril,lisinopril,d00732
lisonoprol,lisinopril,d00732
lisonpril,lisinopril,d00732
lisopril,lisinopril,d00732
lisorropril,lisinopril,d00732
lisroprol,lisinopril,d00732
lisrwopril,lisinopril,d00732
litalopram,citalopram,d04332
lithium,lithium,d00061
lithium aspartate,lithium aspartate,NO_DRUG_ID
lithium carbonate,lithium carbonate,d00061
lithium cr,lithium carbonate extended release,d00061
lithobid,lithobid,d00061
lithum,unknown,d00061
livesta,livesta,NO_DRUG_ID
livial,livial,r10009
livial c. tibolone,tibolone,NO_DRUG_ID
livostatin,lovastatin,d00280
llestat drop,illestat eye drops,NO_DRUG_ID
llipitor,lipitor,d04105
llouasthtin,lovastatin,d00280
loatadine,loratadine,d03050
lobartan,losartan,d03821
lobetalot,lobetalol,NO_DRUG_ID
locaid lipocream,lidocaine cream,NO_DRUG_ID
locoid,locoid,d03205
locoid cream,locoid cream,d03205
locor,locorten,NO_DRUG_ID
locozar,cozaar,d03821
lodamax,lomotil,d03506
lodine,lodine,d00851
lodine (etodolac),lodine,d00851
lodine/ztodatau,lodine,d00851
lodosyn,lodosyn,d00184
loestrin 24,loestrin 24 fe,d03238
lofibra,unknown,d04286
lofibre,lofepramine,NO_DRUG_ID
lolazepam,lorazepam,d00149
lolemax,lotemax,d04292
lomax,lomax,NO_DRUG_ID
lomictal,lamictal,d03809
lomictol,lamictal,d03809
lomodal,lomotil,d03506
lomotil,lomotil,d03506
lomotil 2.5/0.025,lomotil,d03506
lomotol,lomotil,d03506
lonatadine,loratadine,d03050
lonesta,lunesta,d05421
lonofil,loniten,d00135
lonox,lomotil,d03506
lontadine,loratadine,d03050
lonvictal,Unclassified,NO_DRUG_ID
loperamide,loperamide,d01025
loperamide hcl,loperamide hydrochloride,d01025
loperamide hcl(imodium),loperamide,d01025
loperimide,loperamide,d01025
lopernin,loperamide,d01025
lopid,lopid,d00245
lopidine oph drops,lopidine,NO_DRUG_ID
lopio,lopressor,d00134
lopresor,lopressor,d00134
lopressor,lopressor,d00134
loprox,loprox,d01272
loprunite,lopinavir,d04716
lopusson,lopresor,NO_DRUG_ID
loracicline,doxycycline,d00037
lorasaspam 1/2 tab.,lorazepam,d00149
lorastatin,lovastatin,d00280
loratadine,loratadine,d03050
loratadinie,unknown,d03050
loratadure,loratadine,d03050
loratastene,loratadine,d03050
loratastine,loratadine,d03050
loratdine,loratadine,d03050
loratidine,loratadine,d03050
loratindine,loratadine,d03050
loratodine,loratadine,d03050
loratradine,loratadine,d03050
loravepam,lorazepam,d00149
loraxepam,lorazepam,d00149
lorazapam,lorazepam,d00149
lorazapan,lorazepam,d00149
lorazempam,lorazepam,d00149
lorazepa,lorazepam,d00149
"lorazepa,",unknown,d00149
lorazepam,lorazepam,d00149
lorazepam  0.5-1mg,lorazepam,d00149
lorazepam 0.25,lorazepam,d00149
lorazepam 1 half,lorazepam,d00149
lorazepam/prn,lorazepam,d00149
lorazepan,lorazepam,d00149
lorazipam,lorazepam,d00149
lorazpam,lorazepam,d00149
lorcet,unknown,d03428
lorezapam,lorazepam,d00149
lorezepam,lorazepam,d00149
loritab,lortab,NO_DRUG_ID
lorjab,lorazepam,d00149
lorothyrod,levothyroxine,d00278
loroyepou,unknown,NO_DRUG_ID
lorozepam,lorazepam,d00149
lorritodome,loratadine,d03050
lortab,lortab,d03428
lortab (shoulder pain),lortab,NO_DRUG_ID
lortadine,loratadine,d03050
lortel,nortel,NO_DRUG_ID
losartan,losartan,d03821
losartan hctz,losartan/hydrochlorothiazide,NO_DRUG_ID
losartan potassium,losartan potassium,d03821
losartan potassium tartrate,losartan potassium,d03821
losartar,losartan,d03821
losarten potassium,losartan potassium,d03821
losartin,losartan,d03821
losarton,losartan,d03821
loscal,losec,NO_DRUG_ID
losinapril,lisinopril,d00732
losinopril,lisinopril,d00732
losopt 2,cosopt,d04303
lostensin,lotensin,d00730
losyn,losartan,d03821
lotasin - hcthz,lotrel,d03829
lotemax,lotemax,d04292
lotemax opthalmic drops,lotemax ophthalmic drops,d04292
lotencin,lotensin,d00730
lotensen/hct,lotensin hct,d03265
lotensin,lotensin,d00730
lotensin 10 12.5mg,lotensin hct,d03265
lotensin(10/12.5mg),lotensin hct,d03265
lotensin/hctz 20/12.5,lotensin hct,d03265
lotension,lotensin,d00730
lotexsin,lotensin,d00730
lotiel,lotrel,d03829
lotorel,lotrel,d03829
lotree,lotrel,d03829
lotrel,lotrel,d03829
lotrel  5/20,lotrel,d03829
lotrel 10 20,lotrel,d03829
lotrel 2.5 10,lotrel,d03829
lotrel 5 10,lotrel,d03829
lotrel 5.2,lotrel,d03829
lotrel 5/10,lotrel,d03829
lotrel 5/10mg,lotrel,d03829
lotrel 5/20,lotrel,d03829
lotrel benazepril,lotrel,d03829
lotrel ca ch block + ace inhib,lotrel,d03829
lotrell,lotrel,d03829
lotril,lotrel,d03829
lotril 10/40,lotrel,d03829
lotrim,lotrisone,d03561
lotrimin,lotrimin,d04395
lotrimin  cream,lotrimin cream,NO_DRUG_ID
lotrisone,lotrisone,d03561
lotro,lotrel,d03829
lotroel,lotrel,d03829
lotrol,lotrel,d03829
lotronex,lotronex,d04516
louastatin,lovastatin,d00280
louastin,lovastatin,d00280
lova statin,lovastatin,d00280
lovartami,loratadine,d03050
lovartatin,lovastatin,d00280
lovartudor,lovastatin,d00280
lovasratu,lovastatin,d00280
lovastadine,lovastatin,d00280
lovastah,lovastatin,d00280
lovastantin,lovastatin,d00280
lovastat,lovastatin,d00280
lovastaten,lovastatin,d00280
lovastatia,lovastatin,d00280
lovastatin,lovastatin,d00280
lovastatin tab,lovastatin,d00280
lovastatine,lovastatin,d00280
lovastation,lovastatin,d00280
lovastation sr,lovastatin sr,d00280
lovastaton,lovastatin,d00280
lovastin,lovastatin,d00280
lovastine,lovastatin,d00280
lovatadine,unknown,d03050
lovathyroxin,levothyroxine,d00278
lovatidine,loratadine,d03050
lovatis,lovastatin,d00280
lovaza,lovaza,d00497
lovazipam,lorazepam,d00149
lovenox,lovenox,d03041
lovent,lovenox,d03041
lovestatin,lovastatin,d00280
lovethyroxine,levothyroxine,d00278
lovistatim,unknown,d00280
lovistatin,lovastatin,d00280
lovodopa,levodopa,d00277
lovol,Unclassified,NO_DRUG_ID
lovostatin,lovastatin,d00280
lovothyroxine,levothyroxine,d00278
lovoxyl,levoxyl,d00278
low sotren 24fe,unknown,NO_DRUG_ID
loxapine,loxapine,d00897
loxipine,unknown,d00897
lozaar,cozaar,d03821
lozol,lozol,d00260
lpitor,lipitor,d04105
lt3,liothyronine,d00658
lubricant jelly,lubricant jelly,d03770
lubricating (eye drops),artificial tears,d03768
lubricating opth. ointment,lubricating ophthalmic ointment,NO_DRUG_ID
lucerna,lucemyra,d04956
ludapamide,indapamide,d00260
luesta,sinemet,d03473
lugman,unknown,NO_DRUG_ID
lumagan,lumigan,d04754
lumagen,lumigan,d04754
lumegan (eye),lumigan,d04754
lumegin eye drops,lumigan eye drops,NO_DRUG_ID
lumesta,lunesta,d05421
lumian eye drios,lumigan eye drops,NO_DRUG_ID
lumigaere,lumigan,d04754
lumigan,lumigan,d04754
lumigan (0.03 pct eyedrops),lumigan,d04754
lumigan (4 eye drops),lumigan,d04754
lumigan (eye drops 0.03 pct),lumigan,d04754
lumigan 0.03  os,lumigan,d04754
lumigan 0.03 percent,unknown,d04754
lumigan 0.03%,lumigan,d04754
lumigan 0.33,lumigan,d04754
lumigan eye drop,lumigan,d04754
lumigan eye drops,lumigan,d04754
lumigan eye drops(),lumigan,d04754
lumigan eye gtts,lumigan,d04754
lumigan eyes drops,lumigan,d04754
lumigan gtts,lumigan,d04754
lumigan opth.,lumigan,d04754
lumigan opthalmic,unknown,d04754
lumigan opthalmic drops,unknown,d04754
lumigan osthal,lumigan,d04754
lumigan slon,lumigan,d04754
lumigan solution .03pc,lumigan,d04754
lumigen,lumigan,d04754
lumigen 0.0003,lumigan,d04754
lumigol,luminal,d00340
lumigram,unknown,d04754
lumigum solution,lugol's iodine solution,d04754
lunagear,unknown,NO_DRUG_ID
lunegan,lovenox,d03041
lunesia,lunesta,d05421
lunesta,lunesta,d05421
lunestra,lunesta,d05421
lupion,lupron,d01353
lupitor,lipitor,d04105
lupnon,lupron,d01353
lupron,lupron,d01353
lupron depot,lupron depot,d01353
lupron injection,lupron,d01353
lupron injection q 4 months,lupron,d01353
lupron injections,lupron,d01353
lupron sq,lupron,d01353
lusartan,losartan,d03821
lutan,leukeran,d00188
lutean,lutein,d06848
lutein,lutein,d06848
lutensin,lotensin,d00730
lutin,lucentis,d05835
luvox,luvox,d03804
luwigau,unknown,NO_DRUG_ID
luxapro,lexapro,d04812
luxiq,luxiq,d03197
luxiq prn,luxiq,d03197
lveobunolol,levobunolol,d01187
lveothyroxine,levothyroxine,d00278
lvista,lyrica,d05508
lwuigew,unknown,NO_DRUG_ID
lycopene,lycopene,NO_DRUG_ID
lydec cream,lyderm cream,d01294
lynca,lyrica,d05508
lynica,lyrica,d05508
lyrica,lyrica,d05508
lyrica (nsaid),pregabalin,d05508
lyruca,lyrica,d05508
lysine,lysine,d00488
lysinopryl,lisinopril,d00732
lytorin,lyrica,d05508
lyvesta,lyrica,d05508
ma,unknown,NO_DRUG_ID
ma pap,mapap,d00049
"ma,emda",unknown,d04899
maalox plus,unknown,d03478
macrobia,macrobid,d00112
macrobid,macrobid,d00112
macrobid (x14 days),macrobid,d00112
macrodantin,macrodantin,d00112
madp;p;,unknown,NO_DRUG_ID
mag delay,mag-delay,NO_DRUG_ID
mag ox,mag-ox,d03797
mag-ox,mag-ox,NO_DRUG_ID
mag-ox 400,mag-ox 400,d03797
mag-tab sr,mag-tab sr,d03861
magixide,marsilid,d03797
magnesium,magnesium,s10012
magnesium capsules,unknown,s10012
magnesium hydroxide,magnesium hydroxide,d00982
magnesium oxide,magnesium oxide,d03797
magnesium sulfate,unknown,d00468
magnessium,magnesium,NO_DRUG_ID
magnoxide,magnesium oxide,d03797
magox,mag-ox,d03797
magoxide,magnesium oxide,d03797
mamenda,memantine,d04899
mamerda,unknown,d04899
manenda,namenda,d04899
maprotiline,maprotiline,d00877
marax,marax,d03283
margesic,margesic,d03455
marinol,marinol,d00866
mavik,mavik,d04008
maxair,maxair,d00755
maxalat,maxalt,d04328
maxalt,maxalt,d04328
maxalt mlt,maxalt mlt,d04328
maxatrol,maxitrol,d03537
maxide,maxzide,d03052
maxide(37.5/25mg),maxzide,d03052
maxizide,maxzide,d03052
maxzide,maxzide,d03052
maxzide 37.5/25,maxzide,d03052
maxzide/hctz,maxzide,d03052
mayb,unknown,NO_DRUG_ID
maylox,maalox,NO_DRUG_ID
mazide,maxzide,d03052
mc aspirin,aspirin,d00170
mclatanin,melatonin,d04058
mclezine,meclizine,d00859
mcloxican,meloxicam,d04532
meaformin,metformin,d03807
mecilizine hcl,meclizine hcl,d00859
mecilizinehcl,meclizine hcl,NO_DRUG_ID
meclarine,meclizine,d00859
meclazine,meclizine,d00859
meclizene,meclizine,d00859
meclizine,meclizine,d00859
meclizine hcl,meclizine hydrochloride,d00859
meclizine hydrochloride,meclizine hydrochloride,d00859
meclofenamate,unknown,d00283
mecuzine,meclizine,d00859
med poly / dexiointment,neomycin/polymyxin/dexamethasone ointment,NO_DRUG_ID
medent ld,medent ld,d03379
medformin,metformin,d03807
medication for incontinence?,unknown,NO_DRUG_ID
medicinal  pwd,unknown,NO_DRUG_ID
medioxyprogistene,medroxyprogesterone,d00284
medizine,meclizine,d00859
medoxi progest,medroxyprogesterone,d00284
medoxyprogestezine,medroxyprogesterone,d00284
medrol,medrol,d00293
medroxy pr ac,unknown,d00284
medroxy progesteron,medroxyprogesterone,d00284
medroxy progesterone,medroxyprogesterone,d00284
medroxyprogesterene,medroxyprogesterone,d00284
medroxyprogesterone,medroxyprogesterone,d00284
medroxyprogesterone acetate,medroxyprogesterone acetate,d00284
medroxyprogestorone,medroxyprogesterone,d00284
medroxyproquesterone,medroxyprogesterone,d00284
meelizine,meclizine,d00859
mefoopnolol,metoprolol,d00134
meformin,metformin,d03807
meforuwn,metformin,d03807
mega 3,omega-3,d00497
megace,megace,d01348
megase,unknown,d01348
megastrol,megestrol,d01348
megesterol,megestrol,d01348
megestrol,megestrol,d01348
megestrol aat,megestrol acetate,d01348
megestrol ac,megestrol acetate,d01348
megestrol acetate,megestrol acetate,d01348
megestrol acitate,megestrol acetate,d01348
melatonin,melatonin,d04058
melformin,metformin,d03807
melhazolamide,methazolamide,d00640
melixicam,meloxicam,d04532
mellaril,mellaril,d00389
mellizine,meclizine,d00859
meloprolol,metoprolol,d00134
meloxicam,meloxicam,d04532
meloxicam 7.5,meloxicam,d04532
meloxican,meloxicam,d04532
melphalax,melphalan,d00287
meltoriar,mellaril,d00389
memantin,memantine,d04899
memantine,memantine,d04899
memantine hcl,memantine hydrochloride,d04899
memantive,memantine,d04899
mematine,memantine,d04899
mementine,memantine,d04899
memetason furote,mometasone furoate,d04223
memetasone,mometasone,d05262
memiantine,memantine,d04899
memory,unknown,NO_DRUG_ID
menantine,memantine,d04899
menatin hcl,memantine hcl,NO_DRUG_ID
menatine,memantine,d04899
mendelamine,methenamine,d00106
menest,menest,d00542
menest (estrogen),menest,d00542
menostar,menostar,d00537
menostar patch,menostar patch,d00537
meperidine,meperidine,d00017
meperidine hydrochloride,unknown,d00017
meperitab,meperidine,d00017
mepformin,metformin,d03807
meprazole,omeprazole,d00325
meprobamate,meprobamate,d00288
meprobramate,meprobamate,d00288
meq potassium,potassium chloride,d00345
mercaptopunine,mercaptopurine,d00289
mercaptopurine,mercaptopurine,d00289
meridex,meridia,d04260
meridia,meridia,d04260
mertazapine,mirtazapine,d04025
mertazapino,mirtazapine,d04025
mertazipine,mirtazapine,d04025
mertoprolol,unknown,d00134
mervacor,mevacor,d00280
mesalamine,mesalamine,d01031
meselamine,mesalamine,d01031
mesenolo,mesalol,NO_DRUG_ID
mesomex,mesalamine,d01031
mestinon,mestinon,d00363
mestinon 30-60 mg,mestinon,d00363
mestinone,mestinon,d00363
mesxilam,mexiletine,d00300
met formin,metformin,d03807
met formin hcl,metformin hcl,d03807
metacyclin,metacycline,NO_DRUG_ID
metadate cd,metadate cd,d00900
metaformin,metformin,d03807
metaformin er,metformin er,d03807
metaformin hcl,metformin hcl,d03807
metagan,metaglip,d04823
metaglip,metaglip,d04823
metalazone,metolazone,d00299
metamix,metamucil,d01018
metamucil,metamucil,d01018
metamucil  21tsp,metamucil,d01018
metamvcil,metamucil,d01018
metanex,metanx,d03140
metanix,metanx,d03140
metanx,metanx,d03140
metaprel,unknown,d00750
metaprolol,metoprolol,d00134
metaprolol er,metoprolol er,NO_DRUG_ID
metaprolol xl,metoprolol xl,d00134
metaproterenol,unknown,d00750
metax,metaxalone,d00964
meteopolol,metoprolol,d00134
meteprolol,metoprolol,d00134
metfamen,metformin,d03807
metfarmin,metformin,d03807
metfenmin,metformin,d03807
metfern,metformin,d03807
metfomin,metformin,d03807
metforain,metformin,d03807
metforam,metformin,d03807
metforamin,metformin,d03807
metforim,metformin,d03807
metforin,metformin,d03807
metform,metformin,d03807
metforman,metformin,d03807
metformar,metformin,d03807
metformen,metformin,d03807
metformia,metformin,d03807
metformim,metformin,d03807
metformin,metformin,d03807
metformin er,metformin er,d03807
metformin ext rel,metformin extended release,NO_DRUG_ID
metformin hcc,metformin,d03807
metformin hci,metformin hydrochloride,d03807
metformin hcl,metformin hydrochloride,d03807
metformin hcl er,metformin,d03807
metformin hydrochloride,metformin hydrochloride,d03807
metformin hydrochloride er,metformin hydrochloride extended release,d03807
metformin regrel,metformin,d03807
metformin xr,metformin extended release,d03807
metformin-er,metformin extended-release,d03807
metformin/diabetes,metformin,d03807
metformin/glybur,metformin/glyburide,d04703
metformin/glyburide,metformin/glyburide,NO_DRUG_ID
metformine,metformin,d03807
metforming,metformin,d03807
metforminn,metformin,d03807
metfornia,unknown,d03807
metfornic,metformin,d03807
methadone,methadone,d00050
